date,return
2010-01-10,0.04207119741100329
2010-01-17,0.009316770186335255
2010-01-24,-0.06153846153846154
2010-01-31,-0.03524590163934427
2010-02-07,0.07136788445199649
2010-02-14,-0.020618556701030966
2010-02-21,-0.028340080971659853
2010-02-28,-0.022499999999999964
2010-03-07,-0.021312872975277064
2010-03-14,-0.020034843205574915
2010-03-21,0.008888888888888946
2010-03-28,0.05022026431718074
2010-04-04,-0.005033557046979942
2010-04-11,-0.02613827993254625
2010-04-18,0.04675324675324677
2010-04-25,-0.003308519437551616
2010-05-02,-0.00912863070539427
2010-05-09,-0.0536013400335007
2010-05-16,0.07079646017699104
2010-05-23,-0.07190082644628093
2010-05-30,0.03829029385574345
2010-06-06,-0.020583190394511175
2010-06-13,0.0
2010-06-20,0.022767075306479923
2010-06-27,-0.03167808219178081
2010-07-04,-0.0053050397877985045
2010-07-11,0.03733333333333322
2010-07-18,0.0
2010-07-25,0.0025706940874035134
2010-08-01,0.017094017094017255
2010-08-08,0.0025210084033613356
2010-08-15,-0.014249790444258115
2010-08-22,0.003401360544217802
2010-08-29,-0.043220338983051
2010-09-05,0.008857395925597977
2010-09-12,-0.012291483757682187
2010-09-19,0.023111111111111082
2010-09-26,0.020851433536055675
2010-10-03,-0.013617021276595809
2010-10-10,0.039689387402933596
2010-10-17,0.008298755186721962
2010-10-24,0.02551440329218102
2010-10-31,0.0008025682182986049
2010-11-07,0.010425020048115297
2010-11-14,-0.04603174603174609
2010-11-21,0.07737104825291174
2010-11-28,0.02316602316602312
2010-12-05,0.04603773584905646
2010-12-12,-0.0007215007215006786
2010-12-19,-0.018050541516245522
2010-12-26,0.024264705882352855
2011-01-02,0.03086862885857866
2011-01-09,0.00417827298050133
2011-01-16,-0.049930651872399534
2011-01-23,0.019708029197080368
2011-01-30,0.01717967072297788
2011-02-06,-0.018296973961998697
2011-02-13,0.01863799283154144
2011-02-20,0.0380014074595354
2011-02-27,-0.032542372881355974
2011-03-06,0.024526979677645278
2011-03-13,0.0006839945280439075
2011-03-20,-0.05399863294600138
2011-03-27,0.0310693641618498
2011-04-03,0.047652417659425295
2011-04-10,-0.010033444816053394
2011-04-17,-0.016216216216216273
2011-04-24,-0.003434065934066033
2011-05-01,-0.001378359751895264
2011-05-08,0.03864734299516903
2011-05-15,0.0531561461794019
2011-05-22,0.0
2011-05-29,0.021451104100946417
2011-06-05,0.01914762198888198
2011-06-12,-0.039393939393939426
2011-06-19,-0.03785488958990535
2011-06-26,0.01442622950819672
2011-07-03,-0.0019392372333549845
2011-07-10,0.026554404145077815
2011-07-17,-0.012618296529968376
2011-07-24,0.02619808306709248
2011-07-31,-0.019302615193026118
2011-08-07,-0.15682539682539687
2011-08-14,0.09111445783132543
2011-08-21,-0.039337474120082816
2011-08-28,0.010057471264367956
2011-09-04,0.024182076813655806
2011-09-11,-0.04583333333333339
2011-09-18,-0.011644832605531286
2011-09-25,-0.030191458026509577
2011-10-02,0.009870918754745661
2011-10-09,0.012030075187969835
2011-10-16,0.002971768202080227
2011-10-23,-0.03703703703703709
2011-10-30,0.07923076923076922
2011-11-06,0.012829650748396482
2011-11-13,-0.0007037297677693344
2011-11-20,0.021126760563380254
2011-11-27,-0.051724137931034475
2011-12-04,0.05672727272727274
2011-12-11,-0.037852718513420425
2011-12-18,0.04935622317596566
2011-12-25,0.08248125426039543
2012-01-01,0.01952141057934509
2012-01-08,0.01914762198888198
2012-01-15,-0.033939393939393936
2012-01-22,0.019447929736511993
2012-01-29,0.0012307692307691465
2012-02-05,-0.0012292562999385304
2012-02-12,-0.009846153846153838
2012-02-19,0.04972032318210062
2012-02-26,0.02605091770278256
2012-03-04,-0.015579919215233717
2012-03-11,-0.0023446658851112856
2012-03-18,-0.00763807285546414
2012-03-25,0.03670811130846663
2012-04-01,0.016561964591661926
2012-04-08,0.06460674157303359
2012-04-15,0.028496042216358708
2012-04-22,0.04207285787583381
2012-04-29,0.006893156080748364
2012-05-06,0.03129584352078241
2012-05-13,-0.051683262209577974
2012-05-20,-0.025500000000000078
2012-05-27,0.005643919958953525
2012-06-03,-0.0056122448979593065
2012-06-10,-0.07798871216008207
2012-06-17,0.05509181969949939
2012-06-24,-0.01793248945147674
2012-07-01,0.031149301825993403
2012-07-08,0.009374999999999911
2012-07-15,0.045923632610939125
2012-07-22,0.0049333991119882015
2012-07-29,-0.031418753068237604
2012-08-05,-0.017739483020780655
2012-08-12,-0.001547987616098978
2012-08-19,-0.05116279069767449
2012-08-26,0.015250544662309462
2012-09-02,0.02253218884120156
2012-09-09,0.025183630640083887
2012-09-16,-0.07062436028659158
2012-09-23,0.022026431718061623
2012-09-30,0.047952586206896575
2012-10-07,0.07712082262210807
2012-10-14,-0.01384248210023864
2012-10-21,0.04114230396902241
2012-10-28,-0.01766620176662026
2012-11-04,0.009465215333648747
2012-11-11,0.017346460384435103
2012-11-18,0.029032258064516148
2012-11-25,-0.0049261083743842304
2012-12-02,0.024752475247524774
2012-12-09,-0.03776899429073344
2012-12-16,0.00273847558192597
2012-12-23,-0.017751479289940808
2012-12-30,0.011121408711770142
2013-01-06,0.04078826764436294
2013-01-13,0.026420079260237594
2013-01-20,0.014157014157014203
2013-01-27,0.01311336717428091
2013-02-03,0.012108559498956062
2013-02-10,0.014851485148514865
2013-02-17,-0.03861788617886186
2013-02-24,0.018181818181818077
2013-03-03,-0.0008305647840531893
2013-03-10,-0.012468827930174453
2013-03-17,-0.030303030303030387
2013-03-24,0.0021701388888888395
2013-03-31,0.037678648765699485
2013-04-07,0.013355592654423987
